Model,Method,Sharpe,Max Drawdown,Total Return (%),Volatility
LSTM,ENBPI,-0.7448973363903459,-1.209301133171729,-99.99999997992467,0.3366173715980888
LSTM,AGACI,-1.171494857430274,-1.0763467282506758,-100.0,0.3216827171596729
GRU,ENBPI,-0.45198186707042504,-1.1780575648394647,-99.99999999938096,0.35505658753298375
GRU,AGACI,-0.4123301932824802,-1.0931442634222488,-99.99999999999997,0.3307612025051467
